LLM_Prompt_or_Keyword,Search_Volume_Monthly,Keyword_Difficulty_KD_%,Competition_Level,Data_Source
rakhi wishes,9900,20,Low KD (<25%),Semrush AI Overview Intelligence
unique rakhi gifts for brother,2900,14,Low KD (<25%),Semrush AI Overview Intelligence
rakhi for bhaiya bhabhi,1900,11,Low KD (<25%),Semrush AI Overview Intelligence
happy rakhi wishes to brother,6600,14,Low KD (<25%),Semrush AI Overview Intelligence
rakhi greeting card,4400,27,Medium KD (26-45%),Semrush AI Overview Intelligence
rakhi set,3600,26,Medium KD (26-45%),Semrush AI Overview Intelligence
rakhi captions for instagram,1900,20,Low KD (<25%),Semrush AI Overview Intelligence
golden wedding anniversary messages,1600,19,Low KD (<25%),Semrush AI Overview Intelligence
cute rakhi pics,2900,27,Medium KD (26-45%),Semrush AI Overview Intelligence
rakhi meaning,1900,25,Low KD (<25%),Semrush AI Overview Intelligence
rakhi images with quotes,1300,29,Medium KD (26-45%),Semrush AI Overview Intelligence
rakhi message for long distance brother,2400,18,Low KD (<25%),Semrush AI Overview Intelligence
how to check gold purity,5400,14,Low KD (<25%),Semrush AI Overview Intelligence
bangle size,8100,15,Low KD (<25%),Semrush AI Overview Intelligence
best rakhi gift for sister,9900,26,Medium KD (26-45%),Semrush AI Overview Intelligence
gst on gold jewellery,9900,21,Low KD (<25%),Semrush AI Overview Intelligence
demi fine jewelry,6600,19,Low KD (<25%),Semrush AI Overview Intelligence
name ring design,5400,14,Low KD (<25%),Semrush AI Overview Intelligence
earrings for saree,8100,23,Low KD (<25%),Semrush AI Overview Intelligence
upper ear earrings,8100,26,Medium KD (26-45%),Semrush AI Overview Intelligence
9 karat gold,6600,22,Low KD (<25%),Semrush AI Overview Intelligence
how to measure ring size at home,3600,17,Low KD (<25%),Semrush AI Overview Intelligence
10 gram gold necklace,6600,23,Low KD (<25%),Semrush AI Overview Intelligence
latest gold bangles design,8100,28,Medium KD (26-45%),Semrush AI Overview Intelligence
ganesh pendant gold,4400,19,Low KD (<25%),Semrush AI Overview Intelligence
best day to buy gold,1900,15,Low KD (<25%),Semrush AI Overview Intelligence
diamond cocktail rings,2400,15,Low KD (<25%),Semrush AI Overview Intelligence
single stone ring,2400,17,Low KD (<25%),Semrush AI Overview Intelligence
gold akshaya tritiya,4400,24,Low KD (<25%),Semrush AI Overview Intelligence
lotus jewelry,2900,26,Medium KD (26-45%),Semrush AI Overview Intelligence
hypoallergenic earrings,1900,17,Low KD (<25%),Semrush AI Overview Intelligence
diamond earrings for kids,1300,16,Low KD (<25%),Semrush AI Overview Intelligence
heavy gold chain designs for mens,1300,15,Low KD (<25%),Semrush AI Overview Intelligence
bracelets for teenage girl,1300,21,Low KD (<25%),Semrush AI Overview Intelligence
types of necklaces,1300,19,Low KD (<25%),Semrush AI Overview Intelligence
chandbali earrings gold,9900,18,Low KD (<25%),Semrush AI Overview Intelligence
